Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
uid,the_counted,,text,Unique Identifier,,,,,,,,,,,,,
name,the_counted,,text,Name,,,,,,,,,,,,,
age,the_counted,,text,Age,,,integer,,,,,,,,,,
gender,the_counted,,dropdown,Gender,"Male, Male | Female, Female",,,,,,,,,,,,
race_ethnicity,the_counted,,dropdown,Race or Ethnicity,"White, White | Black, Black | Hispanic-Latino, Hispanic-Latino | Arab-American, Arab-American | Uknown, Unknown | Asian-Pacific-Islander, Asian-Pacific-Islander | Native-American, Native-American",,,,,,,,,,,,
month,the_counted,,text,Month,,,,,,,,,,,,,
day,the_counted,,text,Day,,,integer,,,,,,,,,,
year,the_counted,,text,Year,,,integer,,,,,,,,,,
street_address,the_counted,,text,Street Address,,,,,,,,,,,,,
city,the_counted,,text, City,,,,,,,,,,,,,
state,the_counted,,text,State,,,,,,,,,,,,,
classification,the_counted,,text,Classification,,,,,,,,,,,,,
law_enforcement_agency,the_counted,,text,Law Enforcement Agency,,,,,,,,,,,,,
armed,the_counted,,text,Armed,,,,,,,,,,,,,